,Group_1,Group_2,Group_3,Group_4,Soma
2440,7.37310304040404e-05,0.003043079210606061,0.11381204795959599,0.04123900780808082,0.1581678660086869
1314,0.00020389248738383834,0.011885914208080803,0.14522089631313134,0.0004114600947272728,0.15772216310332327
2860,0.002780581255505051,7.919645131313132e-05,0.03719813937676767,0.11706664181818183,0.15712455890176769
2305,0.0003452700415656565,0.03869579606060606,0.005262768079595959,0.1025844563232323,0.14688829050499996
1578,0.14459783450505057,3.103356171717172e-05,0.0017576328370101013,0.0003672579392929293,0.14675375884307076
465,0.13611382248484855,0.002226330044141414,0.0012073166882424246,0.00035532546413131317,0.13990279468136368
249,0.021050207020262626,0.0033431368026262624,0.09340525978787877,0.02128554530565656,0.13908414891642423
2442,0.04135185074242424,0.0013503804316161618,0.09161811153535351,0.0023421399292929304,0.13666248263868686
2421,0.026814693787878784,0.043679402638383866,0.06158099620202021,0.0007977630169292928,0.13287285564521215
1682,0.0010365320503939394,0.058661253151515116,0.06553472456565657,0.0038867023625050517,0.12911921213007066
1570,0.0008056900827272729,0.047017233167676774,0.022091825302020203,0.05799925342424242,0.12791400197666666
1465,0.0008911395779797981,2.9123136262626263e-05,0.08041253372222225,0.04452618456868688,0.12585898100515155
2478,0.021458300174949492,0.07154517761616162,0.007766817705414144,0.022182774422222214,0.12295306991874748
1555,0.00805071758080808,0.00026209976428282834,0.10049712573737372,0.011160529170404039,0.11997047225286868
2477,0.0007890749858383838,0.0020456974047474747,0.030123578516161598,0.08493337472727275,0.1178917256340202
252,0.001703082300656565,0.00939729241141414,0.07723237256565657,0.029151130964646464,0.11748387824237375
1415,0.1115911853232323,9.951238181818181e-05,0.0006991506148484849,0.000180886384949495,0.11257073470484846
1188,0.05989555007474748,0.04465759438383841,0.0006833629146262624,0.006349640312222221,0.11158614768543436
2495,0.00038979997123232327,0.10171677481818184,0.0028333829935757587,0.004913747282828281,0.10985370506581821
2480,0.05341958675828286,0.014566338262626257,0.008023674919797977,0.03215592653454545,0.10816552647525254
1200,3.357543064646464e-05,0.0008398841752525252,0.06622532073737376,0.03909543259191918,0.10619421293519193
939,0.10165877464646464,0.0018205629740101006,0.0012865525297474742,0.0010119643511313132,0.10577785450135353
1466,0.00014048637484848485,0.06813000461616162,0.004609738287070708,0.03142353771010102,0.10430376698818182
492,0.0005375722825454546,6.566384964646466e-05,0.00023810546119191914,0.10313262278787878,0.10397396438126262
597,0.0016044076573333336,0.09681885339393943,0.0002954745406767676,0.00026423414211111104,0.09898296973406065
2483,0.031721240662121196,0.05339525442424242,0.006023530320606059,0.007593036593636362,0.09873306200060604
74,0.03450480920707069,0.00252489343929293,0.003015449145616161,0.057997968512121245,0.09804312030410103
2494,0.0031502454742424247,0.0001466050187878788,0.0038788036742525255,0.08918160133333335,0.09635725550061618
2881,1.1590966666666666e-06,1.4751657373737373e-05,0.012273786524747471,0.0837819485555555,0.09607164583434337
2381,0.0001559166776060606,0.07498393496838385,0.015401647611414136,0.0049446466078484855,0.09548614586525253
2464,0.0005477880782121211,0.0022980304672727274,0.08891795505050504,0.0030915599492929305,0.09485533354528282
2447,0.007268616229606059,0.0054370408947979785,0.04185007699666667,0.039572815057979806,0.09412854917905052
2114,0.0011908295317171716,0.0014702107804646467,0.08720466764080809,0.004168598485353535,0.09403430643834343
2565,0.0005621588395656566,0.003831134933333334,0.07900743747474749,0.009060328841919195,0.09246106008956567
993,0.00039866165198989894,0.03706426129929292,0.024704697871111098,0.029597004805050512,0.09176462562744443
155,9.729849528282826e-05,0.026597031528282824,0.06021061322222222,0.003988495916767676,0.09089343916255554
2386,0.000983323282020202,0.05457495925252524,0.023926503162626272,0.010144084597424245,0.08962887029459596
2737,0.018183247033333332,0.00048492042767676776,0.07039318681818181,0.0004168161172626263,0.08947817039645455
2410,0.0004969771293939396,0.00021564920171717172,0.04435754967676767,0.0440479283222222,0.08911810433010098
40,0.00488229567448485,0.05514463116464647,0.012686851121717172,0.01579723816384848,0.08851101612469697
2650,0.00047222890480808083,0.07470658560606058,0.0012119544475757576,0.010274371326868688,0.08666514028531311
2059,3.216494458585859e-05,0.00718796015060606,0.0704698201414141,0.006574589624010103,0.08426453486061612
1540,0.037894425654040394,0.04040755254024242,0.002380891000808081,0.003506942506121211,0.0841898117012121
1201,0.00030428505945454546,0.03506419380808081,0.000715574421919192,0.04717108660606062,0.08325513989551517
425,0.001674035767070707,0.0005011291918181817,0.0784152744141414,0.0005804015742323233,0.08117084094726261
892,1.3235291717171717e-06,1.639208686868687e-06,3.5703508171717177e-05,0.07980053827272723,0.07983920451875753
2579,0.00020703892868686872,0.0008567637515151515,0.059901113,0.01823968139585859,0.07920459707606062
2064,0.004894770854939394,0.0004962171666060606,0.005258365302515153,0.06848569848888887,0.07913505181294948
1661,6.50107343030303e-05,0.05611976689494952,0.021902204201575765,0.0008584128266868692,0.0789453946575152
2453,0.00798387951828283,0.050518433833333334,0.01656536614367677,0.003830119888383839,0.07889779938367679
223,0.00031643832209090906,0.00016905681949494947,0.0023743283439090906,0.07531416015151514,0.07817398363701009
1558,0.0008582479965151516,0.0008497582394444445,0.0010791972098282826,0.07445284044444443,0.07724004389023231
2411,0.0014001249820202021,0.009913984834747471,0.022272353125252525,0.04361222643838385,0.07719868938040404
1321,6.050863143434343e-05,0.07436026544444446,0.0002660759201111111,0.0005405160635454547,0.07522736605953538
2602,0.03890139428131314,0.021765551093333328,0.0009121790621212123,0.013391394189010098,0.07497051862577778
959,0.032789037383636366,0.017694818455454536,0.008601611055757576,0.015191006817171717,0.07427647371202019
2489,0.011808470068282824,0.007171207801646466,0.001863939788787879,0.052886816999999996,0.07373043465871716
1629,0.00037245667242424244,0.06449232629595962,0.004289199615797981,0.002739635746212121,0.07189361833039397
2452,0.001625751746565656,0.007751167773030305,0.05916856273737374,0.0033071859665656563,0.07185266822353535
1298,0.019017014737272728,0.019007480419191917,0.02955099509343433,0.00237644000369697,0.06995193025359595
2162,0.00047259394337373725,0.0002807348524646465,0.05931647006060609,0.008876263392727273,0.06894606224917176
2278,0.0023611946180808075,0.0038971507194949487,0.054810865126262626,0.007232705394525253,0.06830191585836363
754,0.014689544400353532,0.001016186231919192,0.0498086427777778,0.002334302031616162,0.06784867544166669
413,0.0017921229257070706,0.0017169381465656562,0.061428165545454536,0.0012299058247676768,0.06616713244249493
1777,4.1654916414141415e-05,0.00041435443216161625,0.062075784222222215,0.003207135175626263,0.06573892874642423
